id,reference,label,strain,media,temperature,cell_count,end_lost,omit_count,end_single,end_small_bud,end_large_bud,end_cluster,lifespans,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,endCode,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,"","BY4742 WT","JS34","YPD",30,20,0,0,14,5,0,1,10,3,28,46,15,22,18,20,35,29,20,24,19,21,24,28,16,28,21,19,U,U,U,U,U,U,U,U,U,S,U,U,U,C,S,S,S,U,S,U,
2,"","mgm1","DC:170D12","YPD",30,20,0,0,17,3,0,0,25,24,25,18,31,22,10,37,31,42,24,34,21,26,13,13,34,44,10,40,U,U,U,U,U,U,S,U,S,U,U,U,S,U,U,U,U,U,U,U,
3,"","afg3","JS1001","YPD",30,20,0,0,8,7,1,4,14,29,15,15,10,28,17,23,20,15,17,17,21,16,17,10,21,16,10,11,S,C,L,U,U,S,U,C,U,S,S,S,C,S,U,U,U,C,U,S,
4,"","ylh47","DC:124B10","YPD",30,20,0,0,18,1,1,0,16,33,29,39,40,36,40,35,21,32,14,25,33,45,24,33,18,22,48,41,S,U,U,U,U,U,U,U,U,U,L,U,U,U,U,U,U,U,U,U,
5,"","mdm38","DC:107E12","YPD",30,20,0,0,18,1,1,0,13,13,24,12,12,31,9,21,7,16,6,9,10,6,25,19,26,22,30,28,U,U,U,U,U,U,U,L,U,U,U,U,U,U,U,U,U,U,U,S,
6,"","vps4","DC:124E11","YPD",30,20,0,0,20,0,0,0,33,34,30,31,24,40,34,37,30,18,4,6,34,30,35,7,29,24,21,38,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,
7,"","mef1","DC:170E2","YPD",30,20,0,0,12,5,2,1,21,38,41,42,42,21,18,29,23,49,4,50,42,29,53,43,39,69,40,22,S,S,U,U,U,U,C,U,U,L,U,U,S,U,U,S,U,S,U,L,
8,"","phb2","JS11","YPD",30,20,0,0,20,0,0,0,15,14,15,11,17,17,23,18,17,18,14,21,15,15,12,19,18,30,19,1,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,
9,"","mef2","DC:171B8","YPD",30,20,0,0,9,8,0,3,1,34,2,25,34,50,52,21,52,38,27,26,33,42,34,30,43,15,43,15,U,S,U,C,U,S,U,S,S,U,C,C,U,S,S,U,U,S,U,S,
10,"","mrpl4","DC:145D5","YPD",30,20,0,0,18,2,0,0,43,40,49,57,61,5,59,43,37,42,29,1,29,43,32,59,29,21,29,17,U,U,U,U,U,U,U,U,U,U,U,U,U,U,S,U,U,S,U,U,
11,"","yta12","JS987","YPD",30,20,0,0,14,6,0,0,15,11,29,14,38,35,10,19,40,23,19,22,4,23,29,28,15,18,20,23,U,U,S,S,U,U,U,S,U,U,U,U,U,S,S,U,U,U,S,U,
12,"","pos5","JS985","YPD",30,20,0,0,7,9,1,0,3,13,14,13,11,16,14,13,19,7,8,7,9,17,14,15,12,20,10,13,,,,U,S,U,S,S,U,U,S,U,U,U,S,S,L,S,S,S,
13,"","BY4742 WT","JS34","YEP + 0.05% D",30,20,0,0,15,4,1,0,29,19,19,40,48,16,17,33,26,17,26,17,14,31,17,43,36,29,35,31,U,U,S,S,U,U,U,U,U,U,S,U,U,U,L,U,U,S,U,U,
14,"","mgm1","DC:170D12","YEP + 0.05% D",30,20,0,0,14,0,1,3,12,24,26,22,27,25,28,24,23,34,11,12,32,41,29,8,22,37,31,27,U,U,U,C,L,C,U,U,U,U,,,U,U,U,U,U,U,U,C,
15,"","afg3","JS1001","YEP + 0.05% D",30,20,0,0,16,3,0,1,16,14,20,16,17,20,15,20,11,13,15,17,16,28,16,18,16,16,20,18,U,U,U,S,U,U,U,U,U,U,S,U,U,U,C,U,U,S,U,U,
16,"","ylh47","DC:124B10","YEP + 0.05% D",30,20,0,0,12,8,0,0,33,33,28,50,44,24,29,37,44,22,39,11,39,30,35,28,43,34,46,37,U,U,U,S,S,U,U,U,S,U,S,U,S,U,S,U,U,S,U,S,
17,"","mdm38","DC:107E12","YEP + 0.05% D",30,20,0,0,14,3,2,1,26,29,27,26,14,26,21,20,31,32,35,30,31,43,20,30,41,31,21,19,U,S,U,U,U,U,U,S,L,U,U,C,U,U,S,U,U,U,U,L,
18,"","vps4","DC:124E11","YEP + 0.05% D",30,20,0,0,16,2,1,1,20,7,38,23,26,27,18,9,25,18,28,27,23,32,16,16,18,10,18,33,C,U,U,U,U,S,S,U,U,U,U,U,U,U,U,U,L,U,U,U,
19,"","mef1","DC:170E2","YEP + 0.05% D",30,20,0,0,18,2,0,0,44,36,33,39,41,55,41,54,55,22,44,37,27,53,11,34,45,10,21,52,U,U,U,U,S,U,U,U,U,U,U,U,U,U,U,S,U,U,U,U,
20,"","phb2","JS11","YEP + 0.05% D",30,20,0,0,18,2,0,0,29,18,23,14,20,25,28,26,17,28,20,31,35,18,30,26,29,26,19,4,U,U,U,U,U,U,U,U,S,U,U,U,U,U,U,U,U,U,U,S,
21,"","mef2","DC:171B8","YEP + 0.05% D",30,20,0,0,13,6,1,0,34,43,48,27,41,29,43,28,25,36,10,22,22,31,36,23,17,34,16,25,S,U,U,U,S,U,U,U,U,U,S,U,S,U,U,U,L,S,S,U,
22,"","mrpl4","DC:145D5","YEP + 0.05% D",30,20,0,0,16,4,0,0,74,42,50,21,10,9,54,12,46,10,52,49,29,22,56,10,40,41,65,51,U,U,U,S,U,U,U,U,U,S,U,U,U,S,U,S,U,U,U,U,
23,"","yta12","JS987","YEP + 0.05% D",30,20,0,0,13,5,1,1,10,30,26,22,34,17,29,30,10,22,16,21,14,6,7,21,28,25,27,25,U,U,U,U,U,S,U,U,C,U,U,U,S,S,S,U,U,L,U,S,
24,"","pos5","JS985","YEP + 0.05% D",30,20,0,0,8,9,2,1,27,12,28,11,13,11,16,16,14,26,5,11,14,18,13,15,20,24,21,20,U,S,U,S,S,U,L,U,U,S,U,U,S,C,L,S,S,U,S,S,
25,"","BY4742 WT","JS34","YEP + 3% Glycerol",30,20,0,0,17,3,0,0,11,23,8,46,22,15,29,28,31,31,23,25,12,24,16,29,28,29,12,21,U,S,U,U,U,U,U,S,U,U,U,U,U,U,U,U,U,U,U,S,
26,"","mgm1","DC:170D12","YEP + 3% Glycerol",30,20,0,0,20,0,0,0,0,0,20,15,13,0,1,43,17,15,0,27,28,27,11,0,27,0,25,35,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,
